"filename", "language", "Vue", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\16473\Desktop\bbs\app\README.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\16473\Desktop\bbs\app\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\16473\Desktop\bbs\app\package-lock.json", "JSON", 0, 0, 0, 0, 25136, 0, 0, 1, 25137
"c:\Users\16473\Desktop\bbs\app\package.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\16473\Desktop\bbs\app\postcss.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\16473\Desktop\bbs\app\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\16473\Desktop\bbs\app\src\App.vue", "Vue", 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\16473\Desktop\bbs\app\src\assets\css\base.css", "CSS", 0, 0, 50, 0, 0, 0, 1, 10, 61
"c:\Users\16473\Desktop\bbs\app\src\assets\css\custom.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\16473\Desktop\bbs\app\src\assets\css\normalize.css", "CSS", 0, 0, 143, 0, 0, 0, 126, 73, 342
"c:\Users\16473\Desktop\bbs\app\src\components\HelloWorld.vue", "Vue", 57, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\16473\Desktop\bbs\app\src\main.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\16473\Desktop\bbs\app\src\router\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 5, 28
"c:\Users\16473\Desktop\bbs\app\src\store\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\16473\Desktop\bbs\app\src\views\home\index.vue", "Vue", 97, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\16473\Desktop\bbs\app\src\views\home\message.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\16473\Desktop\bbs\app\src\views\home\my.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\16473\Desktop\bbs\app\src\views\home\post.vue", "Vue", 137, 0, 0, 0, 0, 0, 0, 9, 146
"c:\Users\16473\Desktop\bbs\app\src\views\home\search.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\16473\Desktop\bbs\app\src\views\login\index.vue", "Vue", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\16473\Desktop\bbs\app\src\views\post\FriendPost.vue", "Vue", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\16473\Desktop\bbs\app\src\views\post\PostCard.vue", "Vue", 190, 0, 0, 0, 0, 0, 3, 6, 199
"c:\Users\16473\Desktop\bbs\app\src\views\post\edit.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\16473\Desktop\bbs\app\vue.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 18
"Total", "-", 613, 84, 198, 15, 25161, 16, 132, 147, 26366
