"filename", "language", "JavaScript", "Vue", "Markdown", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\86188\Desktop\bbs\app\README.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\86188\Desktop\bbs\app\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\86188\Desktop\bbs\app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 11364, 0, 1, 11365
"c:\Users\86188\Desktop\bbs\app\package.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\86188\Desktop\bbs\app\postcss.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\86188\Desktop\bbs\app\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\86188\Desktop\bbs\app\src\App.vue", "Vue", 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\86188\Desktop\bbs\app\src\assets\css\base.css", "CSS", 0, 0, 0, 50, 0, 0, 1, 10, 61
"c:\Users\86188\Desktop\bbs\app\src\assets\css\custom.css", "CSS", 0, 0, 0, 47, 0, 0, 0, 1, 48
"c:\Users\86188\Desktop\bbs\app\src\assets\css\normalize.css", "CSS", 0, 0, 0, 143, 0, 0, 126, 73, 342
"c:\Users\86188\Desktop\bbs\app\src\components\HelloWorld.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 3, 60
"c:\Users\86188\Desktop\bbs\app\src\main.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\86188\Desktop\bbs\app\src\router\index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 1, 5, 29
"c:\Users\86188\Desktop\bbs\app\src\store\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\86188\Desktop\bbs\app\src\views\home\index.vue", "Vue", 0, 97, 0, 0, 0, 0, 0, 3, 100
"c:\Users\86188\Desktop\bbs\app\src\views\home\message.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\86188\Desktop\bbs\app\src\views\home\my.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\86188\Desktop\bbs\app\src\views\home\post.vue", "Vue", 0, 139, 0, 0, 0, 0, 0, 9, 148
"c:\Users\86188\Desktop\bbs\app\src\views\home\search.vue", "Vue", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\86188\Desktop\bbs\app\src\views\login\index.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\86188\Desktop\bbs\app\src\views\post\FriendPost.vue", "Vue", 0, 254, 0, 0, 0, 0, 6, 8, 268
"c:\Users\86188\Desktop\bbs\app\src\views\post\PostCard.vue", "Vue", 0, 191, 0, 0, 0, 0, 2, 6, 199
"c:\Users\86188\Desktop\bbs\app\src\views\post\PostDetail.vue", "Vue", 0, 288, 0, 0, 0, 0, 7, 10, 305
"c:\Users\86188\Desktop\bbs\app\src\views\post\edit.vue", "Vue", 0, 98, 0, 0, 0, 0, 0, 3, 101
"c:\Users\86188\Desktop\bbs\app\vue.config.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 18
"Total", "-", 85, 1224, 15, 240, 16, 11389, 144, 164, 13277
